ranking,World Rank,University,Rank
1,156,University of Auckland,5
2,338,University of Otago,5
3,434,University of Canterbury,5
4,504,Massey University,5
5,598,University of Waikato,5
6,729,Auckland University of Technology,5
7,1299,Lincoln University Canterbury,5
8,2472,Unitec New Zealand,5
9,3532,Otago Polytechnic,5
10,3887,Eastern Institute of Technology Hawke’s Bay and Tairāwhiti,5
11,4633,Waikato Institute of Technology,5
12,4704,Ara Institute of Canterbury (formerly Christchurch Polytechnic Institute of Technology),5
13,4839,Victoria University of Wellington,4
14,4872,Manukau Institute of Technology,4
15,5911,Universal College of Learning,4
16,6463,Nelson Marlborough Institute of Technology,4
17,7387,Open Polytechnic of New Zealand,4
18,8461,Southern Institute of Technology,4
19,8696,Whitireia Polytechnic,4
20,8952,Toi Ohomai Institute of Technology,4
21,9355,Wellington Institute of Technology,4
22,10198,NorthTec (Northland Polytechnic),4
23,10269,Auckland Institute of Studies,4
24,11066,Media Design School Auckland,4
25,11224,Western Institute of Technology at Taranaki,3
26,11842,Yoobee Colleges,3
27,12094,Te Wānanga o Aotearoa,3
28,12767,Whitecliffe College of Arts and Design,3
29,13268,IPU New Zealand Tertiary Institute,3
30,13401,NZMA,3
31,13636,Pacific International Hotel Management School,3
32,13738,Tai Poutini Polytechnic,3
33,14553,Laidlaw College,3
34,14828,New Zealand Tertiary College,3
35,15167,Regent International Education Group,3
36,15407,Te Whare Wānanga o Awanuiarangi,3
37,15545,Te Wānanga o Raukawa,2
38,15787,New Zealand Institute of Education,2
39,16048,Aspire2 International,2
40,16584,ICL Business School,2
41,16801,UUNZ Institute of Business,2
42,16963,New Zealand School of Education,2
43,18680,Vision College New Zealand,2
44,18897,Newton College of Business and Technology,2
45,19496,AWI International Education Group,2
46,20247,New Zealand Institute of Studies,2
47,20266,Alpha Educational Institute,2
48,20470,ATMC New Zealand,2
49,20592,Taratahi Agricultural Training Centre,2
50,20731,AGI Education,1
51,21779,Abacus Institute,1
52,22304,ATC New Zealand,1
53,22689,New Zealand School of Export,1
54,24036,Manu Ao Academy,1
55,25336,New Zealand Institute of Technical Training,1
56,25712,Stellaris,1
57,25909,Kauri Academy,1
58,29070,Unified Academy of Innovation,1